title,original_price,discounted_price,percentage_discount,ratings,no_of_ratings,no_of_reviews
"APPLE iPhone 11 (Black, 128 GB)","₹48,900","₹45,999",5% off,4.6,"1,85,085 Ratings","10,853 Reviews"
"APPLE iPhone 11 (White, 128 GB)","₹48,900","₹45,999",5% off,4.6,"1,85,085 Ratings","10,853 Reviews"
"APPLE iPhone 13 (Midnight, 128 GB)","₹69,900","₹61,999",11% off,4.7,"1,92,167 Ratings","10,544 Reviews"
"APPLE iPhone 13 (Blue, 128 GB)","₹69,900","₹61,999",11% off,4.7,"1,92,167 Ratings","10,544 Reviews"
"APPLE iPhone 13 (Starlight, 128 GB)","₹69,900","₹61,999",11% off,4.7,"1,92,167 Ratings","10,544 Reviews"
"APPLE iPhone 14 (Purple, 128 GB)","₹79,900","₹71,999",9% off,4.7,"17,266 Ratings",746 Reviews
"APPLE iPhone 11 (White, 64 GB)","₹43,900","₹40,999",6% off,4.6,"1,85,085 Ratings","10,853 Reviews"
"APPLE iPhone 14 (Midnight, 128 GB)","₹79,900","₹71,999",9% off,4.7,"17,266 Ratings",746 Reviews
"APPLE iPhone 11 (Black, 64 GB)","₹43,900","₹40,999",6% off,4.6,"1,85,085 Ratings","10,853 Reviews"
"APPLE iPhone 13 (Pink, 128 GB)","₹69,900","₹62,999",9% off,4.7,"1,92,167 Ratings","10,544 Reviews"
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹89,900","₹79,999",11% off,4.7,"4,373 Ratings",331 Reviews
"APPLE iPhone 14 (Purple, 256 GB)","₹89,900","₹81,999",8% off,4.7,"17,266 Ratings",746 Reviews
"APPLE iPhone 14 (Starlight, 128 GB)","₹79,900","₹71,999",9% off,4.7,"17,266 Ratings",746 Reviews
"APPLE iPhone 14 (Blue, 128 GB)","₹79,900","₹71,999",9% off,4.7,"17,266 Ratings",746 Reviews
"APPLE iPhone 12 (Purple, 64 GB)","₹59,900","₹53,999",9% off,4.6,"1,87,221 Ratings","12,752 Reviews"
"APPLE iPhone 13 (Midnight, 256 GB)","₹79,900","₹71,999",9% off,4.7,"1,92,167 Ratings","10,544 Reviews"
"APPLE iPhone 12 (Black, 64 GB)","₹59,900","₹53,999",9% off,4.6,"1,87,221 Ratings","12,752 Reviews"
"APPLE iPhone 12 (Black, 128 GB)","₹64,900","₹57,999",10% off,4.6,"1,87,221 Ratings","12,752 Reviews"
"APPLE iPhone 13 (Starlight, 256 GB)","₹79,900","₹71,999",9% off,4.7,"1,92,167 Ratings","10,544 Reviews"
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹89,900","₹79,999",11% off,4.7,"4,373 Ratings",331 Reviews
"APPLE iPhone 13 mini (Blue, 128 GB)","₹64,900","₹61,999",4% off,4.5,"3,152 Ratings",276 Reviews
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹89,900","₹79,999",11% off,4.7,"4,373 Ratings",331 Reviews
"APPLE iPhone 14 Plus (Starlight, 256 GB)","₹99,900","₹89,999",9% off,4.7,"4,373 Ratings",331 Reviews
"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)","₹99,900","₹89,999",9% off,4.7,"4,373 Ratings",331 Reviews
